what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1516704567352
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1516704567502
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1516704567507
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1516704567507
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1516704567508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704567767
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1516704568407
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1516704592378
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1516704592407
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1516704593323
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1516704594056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704600376
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516704601295
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1516704601629
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1516704601633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704604424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704606591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704614888
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1516704616656
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1516704616667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704630599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1516704630613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704630882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704635432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704640707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704642696
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1516704653931
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1516704653934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704655131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704679800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704680327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704684216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704691102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704693374
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1516704694519
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1516704694528
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1516704697831
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1516704698165
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1516704698172
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --sidp=0x11030, --id=0x0, --timestamp=1516704099] return code: 139",1516704702345
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x11030, --id=0x0, --timestamp=1516704099, /cygdrive/h/DSD_v2/software/hello_world/hello_world.elf] return code: 139",1516704705811
error,log,,,"Downloading ELF Process failed",1516704705816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704705834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704719712
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1516704729176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704729273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704742124
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1516704745499
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1516704747133
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --sidp=0x11030, --id=0x0, --timestamp=1516704099] return code: 139",1516704748071
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x11030, --id=0x0, --timestamp=1516704099, /cygdrive/h/DSD_v2/software/hello_world/hello_world.elf] return code: 139",1516704751232
error,log,,,"Downloading ELF Process failed",1516704751235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704751248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704751376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704753226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704753279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704754534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704755479
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516704755662
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1516704756013
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1516704756014
