what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516717589658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717591658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717592018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717592563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717594497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1516717597432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717601212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717605051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717605639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717609665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717611114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717924457
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1516717938881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717938975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717981366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717983102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516717988283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718072017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718475823
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1516718478189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718480267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718481635
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1516718484347
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516718487202
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1516718497209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516718520042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516718531457
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516718533788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718535555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718535784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718536355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718538878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718543018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718547764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718548078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718552195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718557858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718560503
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1516718561666
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1516718565202
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1516718567279
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x11030, --id=0x0, --timestamp=1516704099, /cygdrive/h/DSD_v2/software/task_2/task_2.elf] return code: 134",1516718572281
error,log,,,"Downloading ELF Process failed",1516718572295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718572373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718574360
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1516718575324
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1516718576971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718578586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718584583
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1516718587506
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1516718589644
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.includeBrowser",1516718592325
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.open.include.browser",1516718592352
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1516718594092
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.includeBrowser",1516718600724
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1516718612627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718623152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718637396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718642183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718695926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718696548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718960139
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516718965256
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1516718987362
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1516718987439
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516718989829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718995688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516718998573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719009470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719075434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1516719075481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719075898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719076003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719080848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719082269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719082346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719088771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719093610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719094565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719094595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719097020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719105631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719107955
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1516719108031
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1516719108097
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1516719108097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719124239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719128313
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516719132419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719135346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719137641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516719146105
