what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_23",1516711537655
java.vm.info,sysinfo,,,"mixed mode",1516711537655
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1516711537655
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1516711537655
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1516711537655
java.vm.specification.version,sysinfo,,,"1.0",1516711537655
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1516711537655
java.vm.version,sysinfo,,,"19.0-b09",1516711537655
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1516711539103
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1516711542443
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516711633272
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1516711634309
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1516711634357
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1516711634362
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1516711634661
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1516711634682
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1516711634723
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1516711634757
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1516711637463
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1516711637486
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1516711637487
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1516711637488
